freq	dB(S(1,2))
1.66000000000000014E9	-4.92578580902553043E0
1.66999999999999993E9	-4.87988084613263773E0
1.68000000000000016E9	-4.83387078929974923E0
1.68999999999999995E9	-4.78778993181257384E0
1.69999999999999996E9	-4.74167378840902387E0
1.71000000000000019E9	-4.69555908368005959E0
1.71999999999999997E9	-4.64948373398345183E0
1.72999999999999998E9	-4.60348682227093242E0
1.73999999999999977E9	-4.55760856522870661E0
1.75000000000000000E9	-4.51189027212371840E0
1.76000000000000023E9	-4.46637429475843373E0
1.77000000000000002E9	-4.42110396795088434E0
1.78000000000000003E9	-4.37612353998013948E0
1.78999999999999981E9	-4.33147809247756488E0
1.80000000000000004E9	-4.28721344929047987E0
1.81000000000000005E9	-4.24337607390727456E0
1.81999999999999984E9	-4.20001295511165740E0
1.83000000000000007E9	-4.15717148062403918E0
1.83999999999999986E9	-4.11489929859801062E0
1.85000000000000009E9	-4.07324416696149516E0
1.86000000000000010E9	-4.03225379073581180E0
1.86999999999999988E9	-3.99197564762007362E0
1.88000000000000012E9	-3.95245680229925345E0
1.88999999999999990E9	-3.91374371012235756E0
1.89999999999999991E9	-3.87588201099101459E0
1.91000000000000014E9	-3.83891631450631987E0
1.91999999999999993E9	-3.80288997763682168E0
1.93000000000000016E9	-3.76784487638425691E0
1.93999999999999995E9	-3.73382117314111284E0
1.94999999999999996E9	-3.70085708164175697E0
1.96000000000000019E9	-3.66898863161217648E0
1.96999999999999997E9	-3.63824943540165036E0
1.97999999999999998E9	-3.60867045904634054E0
1.98999999999999977E9	-3.58027980034781246E0
2.00000000000000000E9	-3.55310247665525036E0
2.01000000000000023E9	-3.52716022509916716E0
2.02000000000000002E9	-3.50247131805944356E0
2.03000000000000025E9	-3.47905039661318227E0
2.04000000000000004E9	-3.45690832465073239E0
2.04999999999999982E9	-3.43605206621417869E0
2.06000000000000005E9	-3.41648458844359970E0
2.06999999999999984E9	-3.39820479228847550E0
2.08000000000000007E9	-3.38120747286476497E0
2.08999999999999986E9	-3.36548331101734099E0
2.10000000000000009E9	-3.35101889728136371E0
2.11000000000000032E9	-3.33779678903903365E0
2.12000000000000011E9	-3.32579560123584850E0
2.12999999999999989E9	-3.31499013057510350E0
2.13999999999999968E9	-3.30535151264655314E0
2.14999999999999991E9	-3.29684741098125134E0
2.16000000000000014E9	-3.28944223656944201E0
2.16999999999999993E9	-3.28309739593806560E0
2.18000000000000016E9	-3.27777156547044823E0
2.18999999999999995E9	-3.27342098927005054E0
2.20000000000000018E9	-3.26999979753291381E0
2.20999999999999996E9	-3.26746034210218728E0
2.21999999999999975E9	-3.26575354564500264E0
2.22999999999999998E9	-3.26482926070918023E0
2.23999999999999977E9	-3.26463663480375743E0
2.25000000000000000E9	-3.26512447758888058E0
2.26000000000000023E9	-3.26624162626737657E0
2.27000000000000002E9	-3.26793730533429905E0
2.28000000000000025E9	-3.27016147696551851E0
2.29000000000000004E9	-3.27286517850255354E0
2.29999999999999982E9	-3.27600084371445099E0
